City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Snow,Rain,Country,Current Description,Date
59,Russell,38.9,-98.86,73.99,21,1,10.29,0.0,0.0,US,clear sky,2019-11-09 18:27:34
60,Angren,41.01,70.08,39.36,56,0,1.25,0.0,0.0,UZ,clear sky,2019-11-09 18:27:34
61,Hithadhoo,-0.6,73.08,82.02,77,18,10.22,0.0,0.0,MV,few clouds,2019-11-09 18:22:38
62,Nikolskoye,59.7,30.79,39.2,93,90,6.71,0.0,0.0,RU,mist,2019-11-09 18:27:35
63,Port Hardy,50.7,-127.42,50.0,87,90,13.87,0.0,0.0,CA,overcast clouds,2019-11-09 18:27:35
64,Hilo,19.71,-155.08,78.01,60,1,4.7,0.0,0.0,US,clear sky,2019-11-09 18:27:35
65,Shar,7.3,8.73,83.79,59,65,3.76,0.0,0.0,NG,broken clouds,2019-11-09 18:27:35
66,Goma,-1.67,29.23,57.02,96,95,0.49,0.0,0.56,CD,light rain,2019-11-09 18:27:35
67,Pizarro,4.95,-77.37,75.34,90,100,10.13,0.0,33.31,CO,heavy intensity rain,2019-11-09 18:27:36
68,Faanui,-16.48,-151.75,80.8,81,68,18.68,0.0,0.31,PF,light rain,2019-11-09 18:27:36
69,Hobart,-42.88,147.33,48.99,66,40,10.29,0.0,0.0,AU,scattered clouds,2019-11-09 18:26:47
70,Road Town,18.42,-64.62,87.8,70,20,11.41,0.0,0.0,VG,few clouds,2019-11-09 18:25:39
71,Lebu,8.96,38.73,62.6,48,40,11.41,0.0,0.0,ET,scattered clouds,2019-11-09 18:27:36
72,Amapa,15.09,-87.97,84.99,78,75,5.82,0.0,0.0,HN,broken clouds,2019-11-09 18:27:37
73,Barrow,-38.31,-60.23,70.81,33,0,12.17,0.0,0.0,AR,clear sky,2019-11-09 18:23:04
74,Cape Town,-33.93,18.42,71.01,60,0,11.41,0.0,0.0,ZA,clear sky,2019-11-09 18:23:43
75,Darhan,49.49,105.92,32.29,71,91,5.39,0.0,0.0,MN,overcast clouds,2019-11-09 18:27:37
76,Victor Harbor,-35.55,138.62,57.2,58,75,11.41,0.0,0.0,AU,broken clouds,2019-11-09 18:27:38
77,Havre-Saint-Pierre,50.23,-63.6,28.4,50,1,20.8,0.0,0.0,CA,clear sky,2019-11-09 18:27:38
78,The Valley,18.22,-63.06,89.6,70,75,14.99,0.0,0.0,AI,broken clouds,2019-11-09 18:27:38
79,Verkhnyaya Inta,65.99,60.32,6.94,96,93,9.86,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:38
80,Beringovskiy,63.05,179.32,22.98,94,100,9.66,0.13,0.0,RU,light snow,2019-11-09 18:27:39
81,Skjervoy,70.03,20.97,28.53,50,0,7.56,0.0,0.0,NO,clear sky,2019-11-09 18:27:39
82,Kalmunai,7.42,81.82,81.77,80,95,16.04,0.0,0.63,LK,light rain,2019-11-09 18:27:39
83,Westport,41.14,-73.36,41.0,40,1,5.82,0.0,0.0,US,clear sky,2019-11-09 18:24:50
84,Oudtshoorn,-33.59,22.2,62.6,82,20,17.22,0.0,0.0,ZA,few clouds,2019-11-09 18:27:40
85,Grand Gaube,-20.01,57.66,73.99,83,75,5.82,0.0,0.0,MU,broken clouds,2019-11-09 18:27:40
86,La Ronge,55.1,-105.3,12.2,61,75,12.75,0.0,0.0,CA,broken clouds,2019-11-09 18:27:40
87,Terrak,65.09,12.37,23.0,62,0,10.29,0.0,0.0,NO,clear sky,2019-11-09 18:27:40
88,Bonthe,7.53,-12.5,82.53,73,32,6.17,0.0,0.38,SL,light rain,2019-11-09 18:27:40
89,Necochea,-38.55,-58.74,57.99,73,0,14.0,0.0,0.0,AR,clear sky,2019-11-09 18:27:41
90,Chokurdakh,70.62,147.9,-10.74,99,100,4.36,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:41
91,Itarema,-2.92,-39.92,90.9,42,77,16.35,0.0,0.0,BR,broken clouds,2019-11-09 18:27:41
